
1,14-2-1-1-1-1-1-,15-2-1-1-1-1-,19-2-,21-,21-
2,14-1-1-1-1-1-1-1-,15-2-1-1-1-1-,16-2-1-1-1-,19-2-,19-2-
3,11-1-1-1-1-1-1-1-1-1-1-,12-2-1-1-1-1-1-1-1-,15-2-1-1-1-1-,17-2-1-1-,17-2-1-1-
4,9-1-1-1-1-1-1-1-1-1-1-1-1-,12-2-1-1-1-1-1-1-1-,14-2-1-1-1-1-1-,14-2-1-1-1-1-1-,15-2-1-1-1-1-
6,5-3-1-1-1-1-1-1-1-1-1-1-1-1-1-,7-5-1-1-2-1-1-1-1-1-,12-2-1-1-1-1-1-1-1-,13-2-1-1-1-1-1-1-,13-2-1-1-1-1-1-1-
8,4-3-1-1-1-1-1-1-1-1-1-1-1-1-1-1-,5-3-1-1-2-1-1-1-1-1-1-1-1-1-,12-2-1-1-1-1-1-1-1-,13-2-1-1-1-1-1-1-,13-2-1-1-1-1-1-1-
10,4-3-1-1-1-1-1-1-1-1-1-1-1-1-1-1-,4-3-1-1-1-1-1-1-1-1-1-1-1-1-1-1-,6-4-1-1-2-1-1-1-1-1-1-1-,12-2-1-1-1-1-1-1-1-,13-2-1-1-1-1-1-1-, 3,6,9,12,15
